tjlang token type -> 23 | data -> :: | line -> 1 | line_point -> 1 
tjlang token type -> 9 | data -> test_image | line -> 1 | line_point -> 12 
tjlang token type -> 11 | data -> Image | line -> 1 | line_point -> 18 
tjlang token type -> 19 | data -> assets/images/Test.png | line -> 1 | line_point -> 41 
tjlang token type -> 12 | data -> ( | line -> 1 | line_point -> 43 
tjlang token type -> 13 | data -> [ | line -> 1 | line_point -> 44 
tjlang token type -> 11 | data -> UInt | line -> 1 | line_point -> 49 
tjlang token type -> 16 | data -> ] | line -> 1 | line_point -> 49 
tjlang token type -> 25 | data -> * | line -> 1 | line_point -> 50 
tjlang token type -> 18 | data -> 2 | line -> 1 | line_point -> 52 
tjlang token type -> 24 | data -> -> | line -> 1 | line_point -> 53 
tjlang token type -> 14 | data -> { | line -> 1 | line_point -> 55 
tjlang token type -> 18 | data -> 32 | line -> 1 | line_point -> 58 
tjlang token type -> 20 | data -> , | line -> 1 | line_point -> 58 
tjlang token type -> 18 | data -> 32 | line -> 1 | line_point -> 61 
tjlang token type -> 17 | data -> } | line -> 1 | line_point -> 61 
tjlang token type -> 15 | data -> ) | line -> 1 | line_point -> 62 
tjlang token type -> 23 | data -> :: | line -> 2 | line_point -> 1 
tjlang token type -> 9 | data -> test_font32 | line -> 2 | line_point -> 13 
tjlang token type -> 11 | data -> Font | line -> 2 | line_point -> 18 
tjlang token type -> 19 | data -> assets/fonts/JetBrainsMonoNL-Bold.ttf | line -> 2 | line_point -> 56 
tjlang token type -> 12 | data -> ( | line -> 2 | line_point -> 58 
tjlang token type -> 18 | data -> 32 | line -> 2 | line_point -> 61 
tjlang token type -> 15 | data -> ) | line -> 2 | line_point -> 61 
tjlang token type -> 8 | data -> __env_begin | line -> 4 | line_point -> 12 
tjlang token type -> 9 | data -> welcome_env | line -> 4 | line_point -> 25 
tjlang token type -> 8 | data -> __begin | line -> 8 | line_point -> 8 
tjlang token type -> 9 | data -> dummy_button | line -> 8 | line_point -> 21 
tjlang token type -> 10 | data -> tj_button | line -> 8 | line_point -> 30 
tjlang token type -> 9 | data -> font | line -> 9 | line_point -> 9 
tjlang token type -> 21 | data -> : | line -> 9 | line_point -> 9 
tjlang token type -> 9 | data -> test_font32 | line -> 9 | line_point -> 23 
tjlang token type -> 9 | data -> position | line -> 10 | line_point -> 13 
tjlang token type -> 21 | data -> : | line -> 10 | line_point -> 13 
tjlang token type -> 13 | data -> [ | line -> 10 | line_point -> 15 
tjlang token type -> 11 | data -> Int | line -> 10 | line_point -> 19 
tjlang token type -> 16 | data -> ] | line -> 10 | line_point -> 19 
tjlang token type -> 25 | data -> * | line -> 10 | line_point -> 20 
tjlang token type -> 18 | data -> 2 | line -> 10 | line_point -> 22 
tjlang token type -> 24 | data -> -> | line -> 10 | line_point -> 23 
tjlang token type -> 14 | data -> { | line -> 10 | line_point -> 25 
tjlang token type -> 18 | data -> 64 | line -> 10 | line_point -> 28 
tjlang token type -> 20 | data -> , | line -> 10 | line_point -> 28 
tjlang token type -> 18 | data -> 64 | line -> 10 | line_point -> 32 
tjlang token type -> 17 | data -> } | line -> 10 | line_point -> 32 
tjlang token type -> 9 | data -> dimension | line -> 11 | line_point -> 14 
tjlang token type -> 21 | data -> : | line -> 11 | line_point -> 14 
tjlang token type -> 13 | data -> [ | line -> 11 | line_point -> 16 
